"COD_MKT_ID","AREA","MACROSETTORE","SETTORE","REPARTO","CATEGORIA","SOTTOCATEGORIA","SEGMENTO"
"1","Alimentari","Generi vari","CHIMICA","IGIENE PERSONA","PROD. SANITARI PARAMED","PRIMO SOCCORSO","CEROTTI SPECIALI"
"2","Alimentari","Generi vari","CHIMICA","IGIENE PERSONA","PROD. SANITARI PARAMED","PRIMO SOCCORSO","BENDE/GARZE"
"3","Alimentari","Generi vari","CHIMICA","IGIENE PERSONA","PROD. SANITARI PARAMED","PRIMO SOCCORSO","ALTRI"
"4","Alimentari","Generi vari","CHIMICA","IGIENE PERSONA","PROD. SANITARI PARAMED","PARAFARMACEUTICI","AUTOMEDICAZIONE"
"5","Alimentari","Generi vari","CHIMICA","IGIENE PERSONA","PROD. SANITARI PARAMED","PARAFARMACEUTICI","SIRINGHE"
"6","Alimentari","Generi vari","CHIMICA","IGIENE PERSONA","PROD. SANITARI PARAMED","PARAFARMACEUTICI","TERMOMETRI"
"7","Alimentari","Generi vari","CHIMICA","IGIENE PERSONA","PROD. SANITARI PARAMED","PARAFARMACEUTICI","TEST DIAGNOSTICI"
"8","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","FORNI/FORNELLI","ELETTRICI"
"9","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","FORNI/FORNELLI","GAS"
"10","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCH. GRIGLIARE/TOSTARE","BISTECCHIERE"
"11","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCH. GRIGLIARE/TOSTARE","COTTURA PIZZA"
"12","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCH. GRIGLIARE/TOSTARE","CREPIERE"
"13","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCH. GRIGLIARE/TOSTARE","GRIGLIE"
"14","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCH. GRIGLIARE/TOSTARE","TOSTAPANE"
"15","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCH. GRIGLIARE/TOSTARE","TOSTIERE"
"16","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCH. GRIGLIARE/TOSTARE","ALTRO"
"17","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCHINE CAFFE'","BASE"
"18","Non alimentari","No Food","MULTIMEDIA","PED","COTTURA PED","MACCHINE CAFFE'","BOLLITORI"
